time,b0,b1,b2,b3,b4,b5,b6,b7
4948,9C,D0,3F,4A,7E,64,02,13
4957,2A,D1,3F,CA,7E,64,F8,12
4967,8E,D2,3F,CA,7E,64,F4,12
4977,80,D3,1F,0A,7F,64,EC,12
4988,2C,D4,1F,0A,7F,64,EC,12
4997,D6,D5,1F,0A,7F,64,F4,12
5007,FA,D6,1F,0A,7F,64,F6,12
5017,4D,D7,1F,CA,7E,64,FA,12
5027,D9,D8,1F,CA,7E,64,00,13
5037,AE,D9,1F,8A,7E,64,04,13
5047,A5,DA,1F,8A,7E,64,0A,13
5058,C0,DB,1F,8A,7E,64,16,13
5068,E6,DC,1F,8A,7E,64,12,13
5077,81,DD,3F,4A,7E,64,0E,13
5087,33,DE,3F,4A,7E,64,0E,13
5098,BC,DF,3F,4A,7E,64,0E,13
5108,36,D0,3F,4A,7E,64,FA,12
5117,05,D1,1F,CA,7E,64,E6,12
5127,CD,D2,1F,CA,7E,64,E0,12
5137,E3,D3,1F,0A,7F,64,D6,12
5148,77,D4,1F,0A,7F,64,D2,12
5157,94,D5,1F,4A,7F,64,CC,12
5167,F0,D6,1F,4A,7F,64,C2,12
5177,14,D7,1F,8A,7F,64,BE,12
5188,36,D8,1F,8A,7F,64,BE,12
5198,0C,D9,1F,8A,7F,64,B2,12
5207,FB,DA,1F,8A,7F,64,AE,12
5217,9E,DB,1F,8A,7F,64,B2,12
5227,C8,DC,1F,8A,7F,64,BE,12
5237,12,DD,1F,4A,7F,64,C6,12
5247,D0,DE,1F,4A,7F,64,CE,12
5257,9E,DF,1F,0A,7F,64,DC,12
5267,D2,D0,1F,0A,7F,64,DA,12
5278,A8,D1,1F,0A,7F,64,DA,12
5287,44,D2,1F,0A,7F,64,DA,12
5297,B7,D3,1F,0A,7F,64,D8,12
5307,77,D4,1F,0A,7F,64,D2,12
5317,B5,D5,1F,0A,7F,64,CE,12
5327,E9,D6,1F,0A,7F,64,C4,12
5337,6B,D7,1F,4A,7F,64,BA,12
5347,8D,D8,1F,4A,7F,64,AC,12
5357,AB,D9,1F,8A,7F,64,9E,12
5367,E8,DA,1F,8A,7F,64,9C,12
5377,00,DB,FF,C9,7F,64,92,12
5388,C6,DC,FF,C9,7F,64,86,12
5398,ED,DD,FF,C9,7F,64,82,12
5407,70,DE,FF,C9,7F,64,70,12
5417,E5,DF,FF,09,80,64,50,12
5428,49,D0,FF,09,80,64,46,12
5437,0B,D1,FF,09,80,64,42,12
5447,B3,D2,FF,09,80,64,4C,12
5457,E8,D3,FF,09,80,64,52,12
5468,10,D4,FF,09,80,64,5C,12
5478,69,D5,FF,09,80,64,6E,12
5487,45,D6,FF,09,80,64,6C,12
5497,74,D7,FF,09,80,64,6A,12
5507,6E,D8,FF,09,80,64,6E,12
5517,CD,D9,FF,C9,7F,64,68,12
5527,C6,DA,FF,C9,7F,64,66,12
5537,EB,DB,FF,C9,7F,64,76,12
5547,85,DC,FF,C9,7F,64,7E,12
5557,AE,DD,FF,C9,7F,64,7A,12
5567,54,DE,FF,C9,7F,64,76,12
5577,DB,DF,FF,C9,7F,64,76,12
5588,E7,D0,FF,C9,7F,64,78,12
5597,ED,D1,FF,C9,7F,64,70,12
5607,A9,D2,FF,C9,7F,64,6C,12
5617,46,D3,FF,C9,7F,64,6C,12
5628,D2,D4,FF,C9,7F,64,68,12
5637,93,D5,FF,C9,7F,64,5E,12
5647,CF,D6,FF,C9,7F,64,54,12
5657,38,D7,DF,09,80,64,4E,12
5668,83,D8,DF,C9,7F,64,44,12
5678,20,D9,DF,09,80,64,42,12
5688,63,DA,DF,09,80,64,40,12
5698,F6,DB,BF,09,80,64,36,12
5708,64,DC,BF,09,80,64,2C,12
5718,1B,DD,BF,09,80,64,26,12
5728,D6,DE,BF,09,80,64,1E,12
5737,26,DF,BF,09,80,64,26,12
5748,22,D0,BF,09,80,64,2C,12
5757,A4,D1,BF,09,80,64,3E,12
5768,09,D2,9F,09,80,64,48,12
5777,B2,D3,9F,09,80,64,46,12
5788,BC,D4,9F,89,80,64,52,12
5798,D3,D5,1F,89,80,64,66,12
5807,A4,D6,1F,49,80,64,66,12
5817,BE,D7,1F,49,80,64,56,12
5828,93,D8,1F,89,80,64,5A,12
5837,2A,D9,1F,89,80,64,7C,12
5847,6D,DA,1F,49,80,64,86,12
5857,14,DB,1F,49,80,64,98,12
5868,B4,DC,1F,09,80,64,B2,12
5877,0D,DD,1F,09,80,64,CC,12
5887,97,DE,1F,49,7F,64,E0,12
5897,74,DF,1F,49,7F,64,EA,12
5908,E5,D0,1F,09,7F,64,FC,12
5918,C9,D1,1F,09,7F,64,16,13
5927,BA,D2,1F,49,7E,64,26,13
5937,E1,D3,1F,49,7E,64,38,13
5948,84,D4,1F,89,7D,64,54,13
5958,21,D5,3F,89,7D,64,5A,13
5968,30,D6,3F,09,7D,64,64,13
5977,25,D7,3F,09,7D,64,64,13
5988,6E,D8,3F,49,7D,64,6A,13
5998,00,D9,FF,48,7D,64,50,13
6008,76,DA,FF,88,7D,64,38,13
6018,D7,DB,FF,88,7D,64,32,13
6028,97,DC,FF,08,7E,64,20,13
6038,E1,DD,DF,C8,7D,64,FE,12
6048,77,DE,DF,C8,7E,64,EC,12
6058,18,DF,DF,C8,7E,64,FC,12
6068,E2,D0,DF,C8,7E,64,00,13
