b0,b1,b2,b3,b4,b5,b6,b7
00,00,00,0F,00,03,02
00,00,00,0F,00,04,02
00,00,00,0F,00,05,02
00,00,00,0F,3B,04,02
00,00,00,0F,41,04,02
00,00,00,0F,47,04,02
00,00,00,0F,4E,04,02
00,00,00,0F,4F,07,02
00,00,00,0F,55,04,02
00,00,00,0F,55,05,02
00,00,00,0F,55,06,02
00,00,00,0F,55,07,02
00,00,00,0F,6E,03,02
00,00,00,0F,6E,04,02
00,00,00,0F,6E,05,02
00,00,00,0F,6E,06,02
00,00,00,10,00,00,02
00,00,00,10,00,03,02
00,00,00,10,00,04,02
00,00,00,10,55,04,02
00,00,00,11,00,04,02
00,00,00,11,55,04,02
00,00,00,11,6E,03,02
00,00,00,11,6E,05,02
00,00,00,12,00,04,02
00,00,00,12,00,05,02
00,00,00,12,55,05,02
00,00,00,12,55,07,02
00,00,00,12,6E,03,02
00,00,00,12,6E,06,02
00,00,00,13,00,03,02
00,00,00,13,00,04,02
00,00,00,13,00,05,02
00,00,00,13,00,06,02
00,00,00,13,00,07,02
00,00,00,13,00,08,02
00,00,00,13,55,04,02
00,00,00,13,6E,03,02
00,00,00,13,6E,04,02
00,00,00,13,6E,05,02
00,00,00,13,6E,06,02
00,00,00,13,6E,07,02
00,00,00,14,00,03,02
00,00,00,14,00,04,02
00,00,00,14,00,05,02
00,00,00,14,00,06,02
00,00,00,14,53,04,02
00,00,00,14,55,03,02
00,00,00,14,55,04,02
00,00,00,14,55,05,02
00,00,00,14,55,07,02
00,00,00,14,55,0B,02
00,00,00,14,6E,03,02
00,00,00,14,6E,04,02
00,00,00,14,6E,05,02
00,00,00,14,6E,06,02
00,00,00,14,6E,09,02
00,00,00,15,00,03,02
00,00,00,15,00,04,02
00,00,00,15,00,05,02
00,00,00,15,00,06,02
00,00,00,15,0E,05,02
00,00,00,15,14,05,02
00,00,00,15,1B,05,02
00,00,00,15,21,05,02
00,00,00,15,54,04,02
00,00,00,15,55,04,02
00,00,00,15,55,05,02
00,00,00,15,55,09,02
00,00,00,15,55,0A,02
00,00,00,15,55,0B,02
00,00,00,15,55,0C,02
00,00,00,15,6E,03,02
00,00,00,16,00,03,02
00,00,00,16,00,04,02
00,00,00,16,00,05,02
00,00,00,16,00,06,02
00,00,00,16,07,05,02
00,00,00,16,27,05,02
00,00,00,16,55,04,02
00,00,00,16,55,05,02
00,00,00,16,55,07,02
00,00,00,16,55,08,02
00,00,00,16,55,09,02
00,00,00,16,55,0B,02
00,00,00,16,55,0C,02
00,00,00,16,6E,03,02
00,00,00,16,6E,04,02
00,00,00,16,6E,0A,02
00,00,00,17,00,03,02
00,00,00,17,00,04,02
00,00,00,17,00,05,02
00,00,00,17,00,06,02
00,00,00,17,2E,06,02
00,00,00,17,55,04,02
00,00,00,17,55,05,02
00,00,00,17,55,07,02
00,00,00,17,55,08,02
00,00,00,17,55,0C,02
00,00,00,17,55,0E,02
00,00,00,17,6E,03,02
00,00,00,17,6E,05,02
00,00,00,17,6E,06,02
00,00,00,17,6E,08,02
00,00,00,18,00,04,02
00,00,00,18,00,05,02
00,00,00,18,00,06,02
00,00,00,18,01,05,02
00,00,00,18,34,06,02
00,00,00,18,55,04,02
00,00,00,18,55,05,02
00,00,00,18,55,0D,02
00,00,00,18,55,0E,02
00,00,00,18,6E,04,02
00,00,00,18,6E,05,02
00,00,00,18,6E,08,02
00,00,00,19,00,04,02
00,00,00,19,00,05,02
00,00,00,19,00,06,02
00,00,00,19,55,03,02
00,00,00,19,55,04,02
00,00,00,19,55,05,02
00,00,00,19,55,06,02
00,00,00,19,55,07,02
00,00,00,19,6E,04,02
00,00,00,19,6E,05,02
00,00,00,1A,00,02,02
00,00,00,1A,00,03,02
00,00,00,1A,00,04,02
00,00,00,1A,00,05,02
00,00,00,1A,00,06,02
00,00,00,1A,3B,06,02
00,00,00,1A,55,04,02
00,00,00,1A,55,05,02
00,00,00,1A,55,06,02
00,00,00,1A,55,07,02
00,00,00,1A,6E,03,02
00,00,00,1A,6E,05,02
00,00,00,1B,00,04,02
00,00,00,1B,00,06,02
00,00,00,1B,55,04,02
00,00,00,1B,6E,04,02
00,00,00,1B,6E,05,02
00,00,00,1C,00,03,02
00,00,00,1C,00,04,02
00,00,00,1C,00,05,02
00,00,00,1C,00,06,02
00,00,00,1C,55,05,02
00,00,00,1C,6E,04,02
00,00,00,1C,6E,05,02
00,00,00,1D,00,05,02
00,00,00,1D,47,01,02
00,00,00,1D,55,03,02
00,00,00,1D,55,04,02
00,00,00,1D,6E,03,02
00,00,00,1D,6E,04,02
00,00,00,1E,55,03,02
00,00,00,1E,55,04,02
00,00,00,1E,6E,03,02
00,00,00,1E,6E,04,02
00,00,00,1F,00,03,02
00,00,00,1F,4E,01,02
00,00,00,1F,54,01,02
00,00,00,1F,6E,04,02
00,00,00,1F,6E,05,02
