b0,b1,b2,b3,b4,b5,b6,b7
83,71,37,01,01,FE,01,00
F6,06,00,00,36,00,00,02
83,72,00,00,00,01,FE,3F
C9,07,00,00,37,00,00,02
83,73,00,00,00,00,00,20
77,08,00,00,38,00,00,02
83,74,00,01,00,20,00,5A
32,09,00,00,39,00,00,02
83,75,00,01,00,00,00,00
96,0A,00,00,3A,00,00,02
83,76,00,00,00,00,00,00
99,0B,00,00,3B,00,00,02
83,77,00,00,00,00,00,D2
13,0C,00,00,3C,00,00,02
83,78,FF,01,00,00,00,20
DD,0D,00,00,3D,00,00,02
83,79,FF,01,F0,03,00,00
3D,0E,00,00,3E,00,00,02
83,7A,00,00,00,00,00,00
72,0F,00,00,3F,00,00,02
83,7B,00,00,00,00,00,00
5D,00,00,00,40,00,00,02
83,7C,31,01,00,01,FE,3F
1F,01,00,00,41,00,00,02
83,7D,31,01,00,00,00,20
C6,02,00,00,42,00,00,02
83,7E,00,00,04,00,00,00
4E,03,00,00,43,00,00,02
72,04,00,00,44,00,00,02
24,05,00,00,45,00,00,02
83,71,00,00,00,28,00,00
A7,06,00,00,46,00,00,02
83,72,02,01,04,00,00,00
98,07,00,00,47,00,00,02
83,73,02,01,F0,03,00,00
26,08,00,00,48,00,00,02
63,09,00,00,49,00,00,02
83,75,00,00,00,00,00,00
C7,0A,00,00,4A,00,00,02
83,76,FD,01,00,00,00,00
C8,0B,00,00,4B,00,00,02
83,77,FD,01,00,00,00,20
42,0C,00,00,4C,00,00,02
83,78,00,00,80,0F,00,7A
8C,0D,00,00,4D,00,00,02
83,79,00,00,FE,F7,07,00
6C,0E,00,00,4E,00,00,02
83,7A,33,01,40,3F,00,00
23,0F,00,00,4F,00,00,02
83,7B,33,01,00,00,00,00
84,00,00,00,50,00,00,02
83,7C,00,00,0F,00,7A,3F
C6,01,00,00,51,00,00,02
83,7D,00,00,80,0F,00,7A
1F,02,00,00,52,00,00,02
83,7E,00,00,80,00,00,FE
97,03,00,00,53,00,00,02
83,7F,00,00,FE,00,0E,00
AB,04,00,00,54,00,00,02
83,70,01,01,00,00,00,00
FD,05,00,00,55,00,00,02
83,72,00,00,80,0F,00,7A
41,07,00,00,57,00,00,02
83,73,00,00,FE,F7,07,00
FF,08,00,00,58,00,00,02
BA,09,00,00,59,00,00,02
83,74,FE,01,FF,00,00,00
1E,0A,00,00,5A,00,00,02
83,75,FE,01,5A,00,00,02
11,0B,00,00,5B,00,00,02
83,76,00,00,5B,00,00,02
9B,0C,00,00,5C,00,00,02
83,77,00,00,FE,FB,EF,9F
55,0D,00,00,5D,00,00,02
83,78,30,01,FF,00,00,00
B5,0E,00,00,5E,00,00,02
83,79,30,01,00,00,00,00
FA,0F,00,00,5F,00,00,02
83,7A,00,00,F0,03,00,00
C0,00,00,00,60,00,00,02
83,7B,00,00,00,20,00,59
82,01,00,00,61,00,00,02
83,7C,00,00,00,00,00,00
5B,02,00,00,62,00,00,02
83,7D,43,01,00,00,00,00
D3,03,00,00,63,00,00,02
83,7E,43,01,00,00,00,00
EF,04,00,00,64,00,00,02
83,7F,00,00,00,10,00,98
B9,05,00,00,65,00,00,02
83,70,00,00,F0,03,00,00
3A,06,00,00,66,00,00,02
83,71,BC,01,00,00,00,00
05,07,00,00,67,00,00,02
83,72,BC,01,00,00,00,00
BB,08,00,00,68,00,00,02
83,73,00,00,00,01,FE,3F
FE,09,00,00,69,00,00,02
5A,0A,00,00,6A,00,00,02
83,75,32,01,04,00,00,00
55,0B,00,00,6B,00,00,02
83,76,32,01,00,FF,DF,FF
DF,0C,00,00,6C,00,00,02
83,77,00,00,00,00,00,00
11,0D,00,00,6D,00,00,02
F1,0E,00,00,6E,00,00,02
BE,0F,00,00,6F,00,00,02
19,00,00,00,70,00,00,02
83,7B,00,01,FF,FE,FF,FF
5B,01,00,00,71,00,00,02
83,7C,00,01,00,00,00,00
82,02,00,00,72,00,00,02
83,7D,00,00,00,01,FE,3F
0A,03,00,00,73,00,00,02
83,7E,00,00,00,04,00,00
36,04,00,00,74,00,00,02
83,7F,FF,01,00,20,00,59
60,05,00,00,75,00,00,02
83,70,FF,01,FE,F7,07,00
E3,06,00,00,76,00,00,02
83,71,00,00,40,3F,00,00
DC,07,00,00,77,00,00,02
83,72,00,00,00,00,00,00
62,08,00,00,78,00,00,02
83,73,33,01,0F,00,7A,3F
27,09,00,00,79,00,00,02
83,74,33,01,80,0F,00,7A
83,0A,00,00,7A,00,00,02
83,75,00,00,03,10,00,98
8C,0B,00,00,7B,00,00,02
83,76,00,00,FE,00,00,00
06,0C,00,00,7C,00,00,02
C8,0D,00,00,7D,00,00,02
83,79,42,01,0C,00,00,14
67,0F,00,00,7F,00,00,02
83,7A,42,01,FE,F7,07,00
62,00,00,00,80,00,00,02
83,7B,00,00,40,3F,00,00
20,01,00,00,81,00,00,02
F9,02,00,00,82,00,00,02
83,7D,BD,01,FE,00,03,00
71,03,00,00,83,00,00,02
4D,04,00,00,84,00,00,02
83,7E,BD,01,FE,FB,EF,9F
1B,05,00,00,85,00,00,02
83,7F,00,00,FF,00,00,00
98,06,00,00,86,00,00,02
83,70,00,00,FF,00,00,00
A7,07,00,00,87,00,00,02
83,71,41,01,87,00,00,02
19,08,00,00,88,00,00,02
83,72,41,01,00,00,00,00
5C,09,00,00,89,00,00,02
83,73,00,00,2D,00,7E,90
F8,0A,00,00,8A,00,00,02
83,74,00,00,00,01,FE,3F
F7,0B,00,00,8B,00,00,02
7D,0C,00,00,8C,00,00,02
83,76,C0,01,00,00,00,20
B3,0D,00,00,8D,00,00,02
83,77,C0,01,F0,03,00,00
53,0E,00,00,8E,00,00,02
1C,0F,00,00,8F,00,00,02
BB,00,00,00,90,00,00,02
83,7A,3F,01,00,01,FE,3F
F9,01,00,00,91,00,00,02
83,7B,3F,01,00,00,00,20
20,02,00,00,92,00,00,02
83,7C,00,00,00,20,00,5A
A8,03,00,00,93,00,00,02
83,7D,00,00,00,00,00,00
94,04,00,00,94,00,00,02
83,7E,44,01,00,00,00,00
C2,05,00,00,95,00,00,02
83,7F,44,01,00,00,00,00
41,06,00,00,96,00,00,02
7E,07,00,00,97,00,00,02
83,71,00,00,00,00,00,00
C0,08,00,00,98,00,00,02
83,72,83,01,B1,40,F3,00
85,09,00,00,99,00,00,02
83,73,83,01,00,00,00,00
21,0A,00,00,9A,00,00,02
2E,0B,00,00,9B,00,00,02
83,75,00,00,00,00,00,20
A4,0C,00,00,9C,00,00,02
83,76,7C,01,00,20,00,59
6A,0D,00,00,9D,00,00,02
83,77,7C,01,00,00,00,00
8A,0E,00,00,9E,00,00,02
C5,0F,00,00,9F,00,00,02
83,79,00,00,00,13,00,00
FF,00,00,00,A0,00,00,02
83,7A,20,01,0F,00,7A,3F
BD,01,00,00,A1,00,00,02
83,7B,20,01,80,0F,00,7A
64,02,00,00,A2,00,00,02
83,7C,00,00,03,10,00,98
EC,03,00,00,A3,00,00,02
83,7D,00,00,FE,00,03,00
D0,04,00,00,A4,00,00,02
83,7E,00,00,00,00,00,00
86,05,00,00,A5,00,00,02
83,7F,00,00,00,00,00,20
05,06,00,00,A6,00,00,02
83,70,82,01,80,0F,00,7A
3A,07,00,00,A7,00,00,02
83,71,82,01,FE,F7,07,00
84,08,00,00,A8,00,00,02
83,72,00,00,40,3F,00,00
C1,09,00,00,A9,00,00,02
65,0A,00,00,AA,00,00,02
83,74,7D,01,0F,00,7A,3F
6A,0B,00,00,AB,00,00,02
83,75,7D,01,0C,00,00,14
E0,0C,00,00,AC,00,00,02
83,76,00,00,03,10,00,98
2E,0D,00,00,AD,00,00,02
83,77,00,00,FE,00,03,00
CE,0E,00,00,AE,00,00,02
81,0F,00,00,AF,00,00,02
83,78,56,01,AF,00,00,02
26,00,00,00,B0,00,00,02
83,79,56,01,B0,00,00,02
64,01,00,00,B1,00,00,02
83,7A,00,00,FF,00,00,00
BD,02,00,00,B2,00,00,02
83,7B,00,00,B2,00,00,02
35,03,00,00,B3,00,00,02
83,7C,00,00,B3,00,00,02
09,04,00,00,B4,00,00,02
5F,05,00,00,B5,00,00,02
83,7E,41,01,F0,03,00,00
DC,06,00,00,B6,00,00,02
83,7F,00,00,00,82,0C,40
E3,07,00,00,B7,00,00,02
5D,08,00,00,B8,00,00,02
83,71,BE,01,00,00,00,00
18,09,00,00,B9,00,00,02
83,72,BE,01,00,00,00,00
BC,0A,00,00,BA,00,00,02
83,74,00,00,F8,10,00,00
39,0C,00,00,BC,00,00,02
83,75,4C,01,00,00,00,00
F7,0D,00,00,BD,00,00,02
83,76,4C,01,00,28,00,00
17,0E,00,00,BE,00,00,02
58,0F,00,00,BF,00,00,02
77,00,00,00,C0,00,00,02
83,79,82,01,00,00,00,00
35,01,00,00,C1,00,00,02
83,7A,82,01,00,00,00,00
EC,02,00,00,C2,00,00,02
64,03,00,00,C3,00,00,02
58,04,00,00,C4,00,00,02
83,7D,7D,01,00,20,00,59
0E,05,00,00,C5,00,00,02
83,7E,7D,01,00,00,00,00
8D,06,00,00,C6,00,00,02
B2,07,00,00,C7,00,00,02
0C,08,00,00,C8,00,00,02
83,71,31,01,00,00,00,00
49,09,00,00,C9,00,00,02
83,72,31,01,00,00,00,00
ED,0A,00,00,CA,00,00,02
83,73,00,00,FD,00,00,00
E2,0B,00,00,CB,00,00,02
68,0C,00,00,CC,00,00,02
A6,0D,00,00,CD,00,00,02
83,76,00,00,00,00,00,20
46,0E,00,00,CE,00,00,02
83,77,C1,01,00,00,00,00
09,0F,00,00,CF,00,00,02
83,78,C1,01,FE,F7,07,00
AE,00,00,00,D0,00,00,02
83,79,00,00,40,3F,00,00
EC,01,00,00,D1,00,00,02
35,02,00,00,D2,00,00,02
83,7B,3E,01,0F,00,7A,3F
BD,03,00,00,D3,00,00,02
83,7C,3E,01,0C,00,00,14
81,04,00,00,D4,00,00,02
83,7D,00,00,03,10,00,98
D7,05,00,00,D5,00,00,02
54,06,00,00,D6,00,00,02
83,7F,39,01,00,00,00,00
6B,07,00,00,D7,00,00,02
83,70,39,01,00,04,00,00
D5,08,00,00,D8,00,00,02
83,71,00,00,0C,00,00,14
90,09,00,00,D9,00,00,02
34,0A,00,00,DA,00,00,02
3B,0B,00,00,DB,00,00,02
83,73,00,00,DB,00,00,02
B1,0C,00,00,DC,00,00,02
83,74,00,00,DC,00,00,02
7F,0D,00,00,DD,00,00,02
83,75,C3,01,FF,00,00,00
9F,0E,00,00,DE,00,00,02
83,76,C3,01,FF,00,00,00
D0,0F,00,00,DF,00,00,02
83,77,00,00,DF,00,00,02
EA,00,00,00,E0,00,00,02
83,78,00,00,FE,FB,EF,9F
A8,01,00,00,E1,00,00,02
83,7A,00,00,00,01,FE,3F
F9,03,00,00,E3,00,00,02
C5,04,00,00,E4,00,00,02
93,05,00,00,E5,00,00,02
83,7D,00,01,00,28,00,00
10,06,00,00,E6,00,00,02
2F,07,00,00,E7,00,00,02
91,08,00,00,E8,00,00,02
83,70,03,01,0C,00,20,00
D4,09,00,00,E9,00,00,02
83,71,03,01,00,00,00,00
70,0A,00,00,EA,00,00,02
7F,0B,00,00,EB,00,00,02
F5,0C,00,00,EC,00,00,02
83,74,FC,01,00,20,00,59
3B,0D,00,00,ED,00,00,02
83,75,FC,01,F8,10,00,00
DB,0E,00,00,EE,00,00,02
94,0F,00,00,EF,00,00,02
33,00,00,00,F0,00,00,02
83,78,00,01,00,00,00,00
71,01,00,00,F1,00,00,02
83,79,00,01,00,00,00,00
A8,02,00,00,F2,00,00,02
83,7A,00,00,0C,00,20,00
20,03,00,00,F3,00,00,02
1C,04,00,00,F4,00,00,02
4A,05,00,00,F5,00,00,02
83,7D,00,00,00,00,00,20
C9,06,00,00,F6,00,00,02
83,7E,40,01,80,0F,00,7A
F6,07,00,00,F7,00,00,02
83,70,00,00,40,3F,00,00
0D,09,00,00,F9,00,00,02
A9,0A,00,00,FA,00,00,02
83,72,BF,01,0F,00,7A,3F
A6,0B,00,00,FB,00,00,02
83,73,BF,01,80,0F,00,7A
2C,0C,00,00,FC,00,00,02
83,74,00,00,03,10,00,98
E2,0D,00,00,FD,00,00,02
83,75,00,00,FE,00,03,00
02,0E,00,00,FE,00,00,02
83,76,00,01,16,00,00,00
4D,0F,00,00,FF,00,00,02
83,77,00,01,00,00,00,20
FA,00,00,00,FF,00,00,02
83,78,00,00,0C,00,00,14
15,01,00,00,FF,00,00,02
14,02,00,00,FF,00,00,02
83,7A,00,00,40,3F,00,00
31,03,00,00,FF,00,00,02
3F,04,00,00,FF,00,00,02
83,7C,C0,01,AA,57,55,41
C4,05,00,00,FF,00,00,02
9F,06,00,00,FF,00,00,02
83,7D,C0,01,FF,00,00,00
0D,07,00,00,FF,00,00,02
83,7E,00,00,FF,00,00,02
7A,08,00,00,FF,00,00,02
83,7F,00,00,FF,00,00,02
92,09,00,00,FF,00,00,02
83,70,3F,01,FF,00,00,00
EE,0A,00,00,FF,00,00,02
83,71,3F,01,FF,00,00,00
4C,0B,00,00,FF,00,00,02
83,72,00,00,2D,00,7E,90
F4,0C,00,00,FF,00,00,02
83,73,00,01,00,01,FE,3F
97,0D,00,00,FF,00,00,02
83,74,00,01,00,28,00,00
AF,0E,00,00,FF,00,00,02
83,75,00,00,04,00,00,00
83,77,80,01,00,00,00,00
83,78,80,01,00,00,00,00
83,7A,00,00,00,00,00,20
83,7B,7F,01,00,00,00,00
83,7C,7F,01,00,00,00,00
83,7E,00,00,00,28,00,00
83,7F,38,01,00,00,00,00
83,70,38,01,00,00,00,00
83,74,00,00,00,00,00,20
83,76,81,01,F8,10,00,00
83,79,7E,01,0F,00,7A,3F
83,7A,7E,01,80,0F,00,7A
83,7B,00,00,03,10,00,98
83,7C,00,00,FE,00,03,00
83,7D,56,01,00,00,00,00
83,7E,56,01,00,00,00,C0
83,7F,00,00,80,0F,00,7A
83,70,00,00,FE,F7,07,00
83,72,00,00,00,13,00,00
83,73,42,01,AA,57,55,41
83,74,42,01,04,00,00,00
83,75,00,00,0C,00,20,00
83,76,00,00,FE,00,03,00
83,77,BD,01,FF,00,00,00
83,78,BD,01,FE,FB,EF,9F
83,79,00,00,FF,00,00,02
83,7A,00,00,FF,00,00,02
83,7B,31,01,FF,00,00,00
83,7C,31,01,00,00,00,00
83,7D,00,00,F0,03,00,00
83,70,41,01,00,01,FE,3F
83,71,41,01,00,04,00,00
83,72,00,00,00,20,00,59
83,74,BE,01,00,00,00,00
83,75,BE,01,00,00,00,00
83,77,00,00,F0,03,00,00
83,78,37,01,00,00,00,00
83,79,37,01,00,00,00,00
83,7C,00,00,04,00,00,00
83,7F,01,01,00,00,00,00
83,72,FE,01,00,00,00,00
83,73,FE,01,FE,00,03,00
83,76,31,01,80,0F,00,7A
83,77,31,01,FE,F7,07,00
83,78,00,00,40,3F,00,00
83,7A,00,00,AA,57,55,41
83,7B,00,00,0C,00,00,14
83,7C,80,01,03,10,00,98
83,7D,80,01,FE,00,03,00
83,7E,00,00,78,03,C8,BE
83,7F,00,00,00,00,00,C0
83,70,7F,01,0C,00,00,14
83,71,7F,01,FE,F7,07,00
83,72,00,00,FF,00,00,00
83,73,00,00,FF,00,00,02
83,74,33,01,FF,00,00,02
83,75,33,01,FE,FB,EF,9F
83,76,00,00,FF,00,00,00
83,78,00,00,00,00,00,20
83,79,41,01,00,20,00,59
83,7A,41,01,00,00,00,00
83,7D,BE,01,00,00,00,00
83,7E,BE,01,00,00,00,00
83,70,00,00,F8,FE,FB,FF
83,71,30,01,00,00,00,00
83,72,30,01,00,00,00,20
83,73,00,00,04,00,00,00
83,75,83,01,00,00,00,00
83,76,83,01,00,00,00,00
83,79,7C,01,00,00,00,00
83,7A,7C,01,0C,00,20,00
83,7D,32,01,00,00,00,00
83,7E,32,01,FE,F7,07,00
83,7F,00,00,40,3F,00,00
83,71,00,00,0F,00,7A,3F
83,73,80,01,03,10,00,98
83,74,80,01,FE,00,03,00
83,77,7F,01,0C,00,00,14
83,7B,33,01,0F,00,7A,3F
83,7C,33,01,FF,00,00,02
83,7D,00,00,FF,00,00,00
83,7E,00,00,FE,FB,EF,9F
83,71,41,01,2D,00,7E,90
83,73,00,00,00,28,00,00
83,75,BE,01,F0,03,00,00
83,76,00,00,FD,00,00,00
83,78,41,01,00,01,FE,3F
83,79,41,01,00,00,00,20
83,7A,00,00,00,20,00,59
83,7B,00,00,00,FF,DF,FF
83,7C,40,01,00,00,00,00
83,7D,40,01,00,00,00,09
83,70,BF,01,00,00,00,00
83,71,BF,01,0C,00,20,00
83,73,00,00,00,04,00,00
83,74,44,01,00,20,00,59
83,75,44,01,00,00,00,00
83,77,00,00,00,13,00,00
83,78,00,00,0F,00,7A,3F
83,79,00,00,80,0F,00,7A
83,7A,81,01,03,10,00,98
83,7B,81,01,FE,00,03,00
83,7F,7E,01,FE,F7,07,00
83,72,20,01,0F,00,7A,3F
83,73,20,01,0C,00,00,14
83,76,00,00,FF,00,00,02
83,77,00,00,FF,00,00,00
83,78,00,01,FF,00,00,02
83,79,00,01,FF,00,00,02
83,7C,FF,01,F0,03,00,00
83,7F,56,01,00,01,FE,3F
83,70,56,01,00,00,00,00
83,71,00,00,00,20,00,59
83,77,BE,01,B1,40,73,02
83,78,BE,01,00,00,00,00
83,7B,4C,01,00,20,00,5A
83,7C,4C,01,00,00,00,00
83,71,43,01,00,00,00,00
83,72,43,01,0C,00,20,00
83,75,BC,01,80,0F,00,7A
83,76,BC,01,FE,F7,07,00
