time,b0,b1,b2,b3,b4,b5,b6,b7
8343,92,E1,DF,BF,FF,00,00,00
8352,7E,E2,DF,BF,FF,00,00,00
8362,91,E3,DF,BF,FF,00,00,00
8372,3D,E4,DF,BF,FF,00,00,00
8382,57,E5,DF,BF,FF,00,00,00
8392,67,E6,DF,BF,FF,00,00,00
8402,72,E7,DF,BF,FF,00,00,00
8412,50,E8,DF,BF,FF,00,00,00
8422,22,E9,DF,BF,FF,00,00,00
8432,7D,EA,DF,BF,FF,00,00,00
8442,B0,EB,DF,BF,FF,00,00,00
8452,AE,EC,DF,BF,FF,00,00,00
8462,BD,ED,DF,BF,FF,00,00,00
8472,0F,EE,DF,BF,FF,00,00,00
8482,80,EF,DF,BF,FF,00,00,00
8492,E8,E0,DF,BF,FF,00,00,00
8502,92,E1,DF,BF,FF,00,00,00
8512,7E,E2,DF,BF,FF,00,00,00
8522,91,E3,DF,BF,FF,00,00,00
8532,3D,E4,DF,BF,FF,00,00,00
8542,57,E5,DF,BF,FF,00,00,00
8552,67,E6,DF,BF,FF,00,00,00
8562,72,E7,DF,BF,FF,00,00,00
8572,50,E8,DF,BF,FF,00,00,00
8582,22,E9,DF,BF,FF,00,00,00
8592,7D,EA,DF,BF,FF,00,00,00
8601,B0,EB,DF,BF,FF,00,00,00
8612,AE,EC,DF,BF,FF,00,00,00
8622,BD,ED,DF,BF,FF,00,00,00
8632,0F,EE,DF,BF,FF,00,00,00
8642,80,EF,DF,BF,FF,00,00,00
8652,E8,E0,DF,BF,FF,00,00,00
8662,92,E1,DF,BF,FF,00,00,00
8672,7E,E2,DF,BF,FF,00,00,00
8682,91,E3,DF,BF,FF,00,00,00
8692,3D,E4,DF,BF,FF,00,00,00
8702,57,E5,DF,BF,FF,00,00,00
8712,67,E6,DF,BF,FF,00,00,00
8722,72,E7,DF,BF,FF,00,00,00
8732,50,E8,DF,BF,FF,00,00,00
8742,22,E9,DF,BF,FF,00,00,00
8752,7D,EA,DF,BF,FF,00,00,00
8762,B0,EB,DF,BF,FF,00,00,00
8772,AE,EC,DF,BF,FF,00,00,00
8782,BD,ED,DF,BF,FF,00,00,00
8792,0F,EE,DF,BF,FF,00,00,00
8802,80,EF,DF,BF,FF,00,00,00
8812,E8,E0,DF,BF,FF,00,00,00
8822,92,E1,DF,BF,FF,00,00,00
8832,7E,E2,DF,BF,FF,00,00,00
8842,91,E3,DF,BF,FF,00,00,00
8852,3D,E4,DF,BF,FF,00,00,00
8862,57,E5,DF,BF,FF,00,00,00
8872,67,E6,DF,BF,FF,00,00,00
8881,72,E7,DF,BF,FF,00,00,00
8892,50,E8,DF,BF,FF,00,00,00
8902,22,E9,DF,BF,FF,00,00,00
8912,7D,EA,DF,BF,FF,00,00,00
8923,18,DB,1F,40,7F,00,00,00
8933,4C,DC,1F,CB,78,00,00,00
8943,C5,DD,DF,4A,7E,00,00,00
8953,A4,DE,7F,0A,7B,00,00,00
8963,FC,DF,7F,8A,7A,00,00,00
8973,EE,D0,7F,0A,7A,00,00,00
8983,0B,D1,7F,CA,79,00,00,00
8993,DA,D2,7F,8A,79,00,00,00
9003,72,D3,7F,4A,79,00,00,00
9013,E3,D4,7F,0A,79,00,00,00
9024,89,D5,7F,0A,79,00,00,00
9033,53,D6,7F,CA,78,00,00,00
9043,46,D7,7F,CA,78,00,00,00
9053,64,D8,7F,CA,78,00,00,00
9063,16,D9,7F,CA,78,00,00,00
9074,49,DA,7F,CA,78,00,00,00
9083,15,DB,7F,CA,78,64,00,00
9094,0B,DC,7F,CA,78,64,00,00
9103,18,DD,7F,CA,78,64,00,00
9114,97,DE,7F,8A,78,64,00,00
9123,18,DF,7F,8A,78,64,00,00
9133,70,D0,7F,8A,78,64,00,00
9143,0A,D1,7F,8A,78,64,00,00
9153,E6,D2,7F,8A,78,64,00,00
9163,09,D3,7F,8A,78,64,00,00
9173,A5,D4,7F,8A,78,64,00,00
9183,CF,D5,7F,8A,78,64,00,00
9193,FF,D6,7F,8A,78,64,00,00
9203,EA,D7,7F,8A,78,64,00,00
9214,C8,D8,7F,8A,78,64,00,00
9224,BA,D9,7F,8A,78,64,00,00
9233,E5,DA,7F,8A,78,64,00,00
9243,28,DB,7F,8A,78,64,00,00
9253,36,DC,7F,8A,78,64,00,00
9263,25,DD,7F,8A,78,64,00,00
9273,97,DE,7F,8A,78,64,00,00
9283,18,DF,7F,8A,78,64,00,00
9293,70,D0,7F,8A,78,64,00,00
9303,0A,D1,7F,8A,78,64,00,00
9314,E6,D2,7F,8A,78,64,00,00
9323,09,D3,7F,8A,78,64,00,00
9334,A5,D4,7F,8A,78,64,00,00
9343,CF,D5,7F,8A,78,64,00,00
9353,FF,D6,7F,8A,78,64,00,00
9363,EA,D7,7F,8A,78,64,00,00
9374,C8,D8,7F,8A,78,64,00,00
9384,BA,D9,7F,8A,78,64,00,00
9393,E5,DA,7F,8A,78,64,00,00
9403,28,DB,7F,8A,78,64,00,00
9414,36,DC,7F,8A,78,64,00,00
9424,25,DD,7F,8A,78,64,00,00
9433,97,DE,7F,8A,78,64,00,00
9443,18,DF,7F,8A,78,64,00,00
9453,70,D0,7F,8A,78,64,00,00
9463,0A,D1,7F,8A,78,64,00,00
9474,E6,D2,7F,8A,78,64,00,00
9483,09,D3,7F,8A,78,64,00,00
9493,A5,D4,7F,8A,78,64,00,00
