frame,time,id,len,b0,b1,b2,b3,b4,b5,b6,b7
49,28993,0x0AE,8,10,07,00,00,27,00,00,02
50,28997,0x0A7,8,B7,E7,BF,FF,FE,FB,EF,9F
50,28997,0x0A7,8,B7,E7,BF,FF,FE,FB,EF,9F
51,28997,0x0A8,8,72,E7,DF,BF,FF,00,00,00
51,28997,0x0A8,8,72,E7,DF,BF,FF,00,00,00
52,29001,0x0AF,4,83,74,31,01,00,00,00,00
52,29001,0x0AF,4,83,74,31,01,00,00,00,00
53,29003,0x0AD,8,A2,E8,BF,FF,00,14,00,00
53,29003,0x0AD,8,A2,E8,BF,FF,00,14,00,00
54,29003,0x0AE,8,AE,08,00,00,28,00,00,02
54,29003,0x0AE,8,AE,08,00,00,28,00,00,02
55,29007,0x0A7,8,FA,E8,BF,FF,FE,FB,EF,9F
55,29007,0x0A7,8,FA,E8,BF,FF,FE,FB,EF,9F
56,29007,0x0A8,8,50,E8,DF,BF,FF,00,00,00
56,29007,0x0A8,8,50,E8,DF,BF,FF,00,00,00
57,29012,0x0AF,4,83,75,00,00,0F,00,7A,3F
57,29012,0x0AF,4,83,75,00,00,0F,00,7A,3F
58,29013,0x0AD,8,A6,E9,BF,FF,00,14,00,00
58,29013,0x0AD,8,A6,E9,BF,FF,00,14,00,00
59,29013,0x0AE,8,EB,09,00,00,29,00,00,02
59,29013,0x0AE,8,EB,09,00,00,29,00,00,02
60,29017,0x0A8,8,22,E9,DF,BF,FF,00,00,00
60,29017,0x0A8,8,22,E9,DF,BF,FF,00,00,00
61,29017,0x0A7,8,2A,E9,BF,FF,FE,FB,EF,9F
61,29017,0x0A7,8,2A,E9,BF,FF,FE,FB,EF,9F
62,29022,0x0AF,4,83,76,00,00,80,0F,00,7A
62,29022,0x0AF,4,83,76,00,00,80,0F,00,7A
63,29023,0x0AD,8,F7,EA,BF,FF,00,14,00,00
63,29023,0x0AD,8,F7,EA,BF,FF,00,14,00,00
64,29023,0x0AE,8,4F,0A,00,00,2A,00,00,02
64,29023,0x0AE,8,4F,0A,00,00,2A,00,00,02
65,29027,0x0A7,8,2C,EA,BF,FF,FE,FB,EF,9F
65,29027,0x0A7,8,2C,EA,BF,FF,FE,FB,EF,9F
66,29027,0x0A8,8,7D,EA,DF,BF,FF,00,00,00
66,29027,0x0A8,8,7D,EA,DF,BF,FF,00,00,00
