b0,b1,b2,b3,b4,b5,b6,b7
00,00,00,00,3F,6E,07,02
00,01,00,00,14,55,07,02
00,01,00,00,17,07,05,02
00,01,00,00,34,05,05,02
00,01,00,00,3B,55,09,02
00,01,00,00,64,6E,07,02
00,02,00,00,15,00,04,02
00,02,00,00,5E,00,01,02
00,02,00,00,AC,44,FF,01
00,02,A0,80,FD,09,08,3E
00,02,E0,7F,FC,01,28,3E
00,03,00,00,16,6E,07,02
00,04,00,00,49,55,08,02
00,04,00,00,5C,55,11,02
00,06,00,00,1B,6E,04,02
00,06,00,00,44,55,0A,02
00,07,00,00,23,48,05,02
00,08,00,00,18,55,0E,02
00,08,00,00,FF,07,00,02
00,09,00,00,5D,55,11,02
00,09,00,00,CC,00,01,02
00,09,00,00,FF,6E,FF,01
00,0A,00,00,25,55,04,02
00,0A,00,00,34,52,05,02
00,0B,00,00,16,09,05,02
00,0B,00,00,19,36,06,02
00,0B,00,00,1C,00,05,02
00,0B,00,00,37,55,05,02
00,0B,00,00,47,6E,05,02
00,0C,00,00,AC,37,00,02
00,0C,60,7E,FC,ED,C7,3D
00,0D,00,00,13,00,06,02
00,0D,00,00,38,55,06,02
00,0D,00,00,48,6E,06,02
00,0E,00,00,17,55,0C,02
00,0E,E1,82,FD,2D,D8,3D
00,0F,00,00,0F,00,05,02
00,0F,00,00,24,55,05,02
00,0F,00,00,36,00,06,02
00,0F,00,00,42,6E,08,02
00,0F,00,00,FF,18,00,02
00,10,E0,81,FD,1D,28,3E
00,11,A0,80,FC,0D,48,3E
00,19,5E,78,FC,85,17,3E
00,1A,20,81,FC,09,C8,3D
00,1A,A3,88,FD,89,28,3E
00,1B,62,88,FD,85,28,3E
00,1F,60,7F,FC,F5,A7,3D
00,22,21,84,FC,45,98,3D
00,22,A1,89,FD,35,68,3E
00,24,A1,83,FC,39,28,3E
00,26,E1,83,FD,3D,98,3D
00,27,5E,77,FD,75,D7,3D
00,27,63,88,FD,85,F8,3D
00,27,65,8B,FD,B5,F8,3D
00,28,DF,7E,FC,ED,D7,3D
00,2A,22,86,FD,61,C8,3D
00,2B,61,84,FC,45,38,3E
00,2F,DE,79,FB,99,D7,3D
00,34,A0,FF,3A,A0,01,31
00,36,9E,79,FC,99,F7,3D
00,37,23,7D,FB,79,C8,3D
00,38,1F,7F,FB,F1,17,3E
00,3B,61,84,FD,45,08,3E
00,42,E2,85,FD,5D,C8,3D
00,43,60,81,FD,15,28,3E
00,43,61,84,FD,49,08,3E
00,44,A0,7F,FD,01,A8,3D
