b0,b1,b2,b3,b4,b5,b6,b7
D0,1F,08,7E,64,6E,10
D0,1F,08,7E,64,78,11
D0,1F,08,7E,64,80,10
D0,1F,08,7E,64,8C,11
D0,1F,08,7E,64,90,10
D0,1F,08,7E,64,9A,10
D0,1F,08,7E,64,9E,11
D0,1F,08,7E,64,A0,10
D0,1F,08,7E,64,BE,10
D0,1F,08,7E,64,C8,10
D0,1F,08,7F,64,02,10
D0,1F,08,7F,64,04,10
D0,1F,08,7F,64,08,10
D0,1F,08,7F,64,0A,10
D0,1F,08,7F,64,0E,10
D0,1F,08,7F,64,12,10
D0,1F,08,7F,64,14,10
D0,1F,08,7F,64,1A,10
D0,1F,08,7F,64,22,10
D0,1F,08,7F,64,CC,0F
D0,1F,08,7F,64,DE,0F
D0,1F,08,7F,64,E2,0F
D0,1F,08,7F,64,EA,0F
D0,1F,08,7F,64,EC,0F
D0,1F,08,7F,64,EE,0F
D0,1F,08,7F,64,F2,0F
D0,1F,08,7F,64,F4,0F
D0,1F,08,7F,64,F6,0F
D0,1F,08,7F,64,F8,0F
D0,1F,09,7E,64,18,10
D0,1F,09,7E,64,FC,0F
D0,1F,09,84,64,58,11
D0,1F,0A,78,64,00,00
D0,1F,0A,78,64,46,11
D0,1F,0A,78,64,7A,11
D0,1F,0A,7F,64,32,0E
D0,1F,0A,7F,64,62,0E
D0,1F,0A,7F,64,66,12
D0,1F,0A,7F,64,98,0E
D0,1F,0A,7F,64,9C,11
D0,1F,0A,7F,64,AA,12
D0,1F,0A,80,64,36,0E
D0,1F,0A,80,64,46,12
D0,1F,0A,80,64,C4,10
D0,1F,0A,81,64,46,0D
D0,1F,0A,81,64,48,10
D0,1F,0A,81,64,86,0D
D0,1F,0A,81,64,8C,11
D0,1F,0A,81,64,9E,11
D0,1F,0A,81,64,A8,11
D0,1F,0A,81,64,AC,11
D0,1F,0A,81,64,BC,0D
D0,1F,0A,81,64,C4,11
D0,1F,0A,81,64,CC,0D
D0,1F,0A,81,64,CC,11
D0,1F,0A,81,64,D4,11
