time,b0,b1,b2,b3,b4,b5,b6,b7
47775,92,E1,DF,BF,FF,00,00,00
47795,91,E3,DF,BF,FF,00,00,00
47803,3D,E4,DF,BF,FF,00,00,00
47822,67,E6,DF,BF,FF,00,00,00
47832,72,E7,DF,BF,FF,00,00,00
47843,50,E8,DF,BF,FF,00,00,00
47853,22,E9,DF,BF,FF,00,00,00
47863,7D,EA,DF,BF,FF,00,00,00
47872,B0,EB,DF,BF,FF,00,00,00
47883,AE,EC,DF,BF,FF,00,00,00
47893,BD,ED,DF,BF,FF,00,00,00
47903,0F,EE,DF,BF,FF,00,00,00
47912,80,EF,DF,BF,FF,00,00,00
47923,E8,E0,DF,BF,FF,00,00,00
47933,92,E1,DF,BF,FF,00,00,00
47942,7E,E2,DF,BF,FF,00,00,00
47952,91,E3,DF,BF,FF,00,00,00
47963,3D,E4,DF,BF,FF,00,00,00
47973,57,E5,DF,BF,FF,00,00,00
47995,72,E7,DF,BF,FF,00,00,00
48015,22,E9,DF,BF,FF,00,00,00
48032,B0,EB,DF,BF,FF,00,00,00
48043,AE,EC,DF,BF,FF,00,00,00
48053,BD,ED,DF,BF,FF,00,00,00
48062,0F,EE,DF,BF,FF,00,00,00
48073,80,EF,DF,BF,FF,00,00,00
48083,E8,E0,DF,BF,FF,00,00,00
48093,92,E1,DF,BF,FF,00,00,00
48103,7E,E2,DF,BF,FF,00,00,00
48112,91,E3,DF,BF,FF,00,00,00
48123,3D,E4,DF,BF,FF,00,00,00
48133,57,E5,DF,BF,FF,00,00,00
48142,67,E6,DF,BF,FF,00,00,00
48153,72,E7,DF,BF,FF,00,00,00
48175,22,E9,DF,BF,FF,00,00,00
48194,B0,EB,DF,BF,FF,00,00,00
48215,BD,ED,DF,BF,FF,00,00,00
48235,80,EF,DF,BF,FF,00,00,00
48244,40,D0,1F,40,7F,00,00,00
48254,14,D1,1F,CB,76,00,00,00
48264,6B,D2,DF,49,7E,64,00,00
48274,1F,D3,7F,49,79,64,00,00
48284,F5,D4,7F,C9,78,00,00,00
48294,E5,D5,7F,49,78,00,00,00
48304,E8,D6,7F,09,78,00,00,00
48314,73,D7,7F,C9,77,00,00,00
48324,6C,D8,7F,89,77,00,00,00
48334,59,D9,7F,49,77,00,00,00
48344,3B,DA,7F,09,77,00,00,00
48354,F6,DB,7F,09,77,00,00,00
48377,11,DD,7F,C9,76,00,00,00
48396,2C,DF,7F,C9,76,00,00,00
48416,3E,D1,7F,C9,76,00,00,00
48434,AC,D3,7F,C9,76,64,00,00
48444,00,D4,7F,C9,76,64,00,00
48454,6A,D5,7F,C9,76,64,00,00
48464,5A,D6,7F,C9,76,64,00,00
48474,4F,D7,7F,C9,76,64,00,00
48484,6D,D8,7F,C9,76,64,00,00
48494,1F,D9,7F,C9,76,64,00,00
48504,40,DA,7F,C9,76,64,00,00
48514,8D,DB,7F,C9,76,64,00,00
48524,93,DC,7F,C9,76,64,00,00
48534,80,DD,7F,C9,76,64,00,00
48544,32,DE,7F,C9,76,64,00,00
48566,E8,D0,7F,89,76,64,00,00
48586,7E,D2,7F,89,76,64,00,00
48604,3D,D4,7F,89,76,64,00,00
48614,57,D5,7F,89,76,64,00,00
48624,67,D6,7F,89,76,64,00,00
48634,72,D7,7F,89,76,64,00,00
48644,50,D8,7F,89,76,64,00,00
48654,22,D9,7F,89,76,64,00,00
48664,7D,DA,7F,89,76,64,00,00
48674,B0,DB,7F,89,76,64,00,00
48684,AE,DC,7F,89,76,64,00,00
48694,BD,DD,7F,89,76,64,00,00
48704,0F,DE,7F,89,76,64,00,00
48714,80,DF,7F,89,76,64,00,00
48724,E8,D0,7F,89,76,64,00,00
48734,92,D1,7F,89,76,64,00,00
48757,91,D3,7F,89,76,64,00,00
48774,57,D5,7F,89,76,64,00,00
48784,67,D6,7F,89,76,64,00,00
48794,72,D7,7F,89,76,64,00,00
48804,50,D8,7F,89,76,64,00,00
48814,22,D9,7F,89,76,64,00,00
48824,7D,DA,7F,89,76,64,00,00
48834,B0,DB,7F,89,76,64,00,00
48844,AE,DC,7F,89,76,64,00,00
48854,BD,DD,7F,89,76,64,00,00
48864,0F,DE,7F,89,76,64,00,00
48874,80,DF,7F,89,76,64,00,00
48884,E8,D0,7F,89,76,64,00,00
48894,92,D1,7F,89,76,64,00,00
48904,7E,D2,7F,89,76,64,00,00
48927,3D,D4,7F,89,76,64,00,00
48944,67,D6,7F,89,76,64,00,00
48954,72,D7,7F,89,76,64,00,00
48964,50,D8,7F,89,76,64,00,00
48974,22,D9,7F,89,76,64,00,00
48984,7D,DA,7F,89,76,64,00,00
48994,B0,DB,7F,89,76,64,00,00
49004,AE,DC,7F,89,76,64,00,00
49014,BD,DD,7F,89,76,64,00,00
49024,0F,DE,7F,89,76,64,00,00
49034,80,DF,7F,89,76,64,00,00
49044,E8,D0,7F,89,76,64,00,00
49054,92,D1,7F,89,76,64,00,00
49064,7E,D2,7F,89,76,64,00,00
49074,91,D3,7F,89,76,64,00,00
49084,3D,D4,7F,89,76,64,00,00
49107,67,D6,7F,89,76,64,00,00
49126,50,D8,7F,89,76,64,00,00
49144,7D,DA,7F,89,76,64,00,00
49154,B0,DB,7F,89,76,64,00,00
49164,AE,DC,7F,89,76,64,00,00
49174,BD,DD,7F,89,76,64,00,00
49184,0F,DE,7F,89,76,64,00,00
49194,80,DF,7F,89,76,64,00,00
49204,E8,D0,7F,89,76,64,00,00
49214,92,D1,7F,89,76,64,00,00
49224,7E,D2,7F,89,76,64,00,00
49234,91,D3,7F,89,76,64,00,00
49245,3D,D4,7F,89,76,64,00,00
49254,57,D5,7F,89,76,64,00,00
49264,67,D6,7F,89,76,64,00,00
49287,50,D8,7F,89,76,64,00,00
49304,7D,DA,7F,89,76,64,00,00
49314,B0,DB,7F,89,76,64,00,00
49324,AE,DC,7F,89,76,64,00,00
49334,BD,DD,7F,89,76,64,00,00
49356,80,DF,7F,89,76,64,00,00
49374,92,D1,7F,89,76,64,00,00
49384,7E,D2,7F,89,76,64,00,00
49394,91,D3,7F,89,76,64,00,00
49404,3D,D4,7F,89,76,64,00,00
49414,57,D5,7F,89,76,64,00,00
49424,67,D6,7F,89,76,64,00,00
49434,72,D7,7F,89,76,64,00,00
49444,50,D8,7F,89,76,64,00,00
49454,22,D9,7F,89,76,64,00,00
49464,7D,DA,7F,89,76,64,00,00
49485,AE,DC,7F,89,76,64,00,00
49504,0F,DE,7F,89,76,64,00,00
49514,80,DF,7F,89,76,64,00,00
49524,E8,D0,7F,89,76,64,00,00
49534,92,D1,7F,89,76,64,00,00
49544,7E,D2,7F,89,76,64,00,00
49554,91,D3,7F,89,76,64,00,00
49564,3D,D4,7F,89,76,64,00,00
49574,57,D5,7F,89,76,64,00,00
49584,67,D6,7F,89,76,64,00,00
49594,72,D7,7F,89,76,64,00,00
49604,50,D8,7F,89,76,64,00,00
49614,22,D9,7F,89,76,64,00,00
49624,7D,DA,7F,89,76,64,00,00
49634,B0,DB,7F,89,76,64,00,00
49657,BD,DD,7F,89,76,64,00,00
49674,80,DF,7F,89,76,64,00,00
49684,E8,D0,7F,89,76,64,00,00
49694,92,D1,7F,89,76,64,00,00
49704,7E,D2,7F,89,76,64,00,00
49714,91,D3,7F,89,76,64,00,00
49724,3D,D4,7F,89,76,64,00,00
49734,57,D5,7F,89,76,64,00,00
49744,67,D6,7F,89,76,64,00,00
49754,72,D7,7F,89,76,64,00,00
49764,50,D8,7F,89,76,64,00,00
49774,22,D9,7F,89,76,64,00,00
49784,7D,DA,7F,89,76,64,00,00
49794,B0,DB,7F,89,76,64,00,00
49804,AE,DC,7F,89,76,64,00,00
49814,BD,DD,7F,89,76,64,00,00
49835,80,DF,7F,89,76,64,00,00
49856,92,D1,7F,89,76,64,00,00
49874,91,D3,7F,89,76,64,00,00
49884,3D,D4,7F,89,76,64,00,00
49894,57,D5,7F,89,76,64,00,00
49904,67,D6,7F,89,76,64,00,00
49914,72,D7,7F,89,76,64,00,00
49924,50,D8,7F,89,76,64,00,00
49934,22,D9,7F,89,76,64,00,00
49944,7D,DA,7F,89,76,64,00,00
49954,B0,DB,7F,89,76,64,00,00
49964,AE,DC,7F,89,76,64,00,00
49974,BD,DD,7F,89,76,64,00,00
49984,0F,DE,7F,89,76,64,00,00
49994,80,DF,7F,89,76,64,00,00
50015,92,D1,7F,89,76,64,00,00
50034,91,D3,7F,89,76,64,00,00
50044,3D,D4,7F,89,76,64,00,00
50054,57,D5,7F,89,76,64,00,00
50064,67,D6,7F,89,76,64,00,00
50074,72,D7,7F,89,76,64,00,00
50084,50,D8,7F,89,76,64,00,00
50094,22,D9,7F,89,76,64,00,00
50104,7D,DA,7F,89,76,64,00,00
50114,B0,DB,7F,89,76,64,00,00
50124,AE,DC,7F,89,76,64,00,00
50134,BD,DD,7F,89,76,64,00,00
50144,0F,DE,7F,89,76,64,00,00
50154,80,DF,7F,89,76,64,00,00
50164,E8,D0,7F,89,76,64,00,00
50174,92,D1,7F,89,76,64,00,00
50196,91,D3,7F,89,76,64,00,00
50216,57,D5,7F,89,76,64,00,00
50236,72,D7,7F,89,76,64,00,00
50256,22,D9,7F,89,76,64,00,00
50274,B0,DB,7F,89,76,64,00,00
50284,AE,DC,7F,89,76,64,00,00
50294,BD,DD,7F,89,76,64,00,00
50304,0F,DE,7F,89,76,64,00,00
50314,80,DF,7F,89,76,64,00,00
50324,E8,D0,7F,89,76,64,00,00
50334,92,D1,7F,89,76,64,00,00
50344,7E,D2,7F,89,76,64,00,00
50354,91,D3,7F,89,76,64,00,00
50364,3D,D4,7F,89,76,64,00,00
50374,57,D5,7F,89,76,64,00,00
50394,72,D7,7F,89,76,64,00,00
50404,50,D8,7F,89,76,64,00,00
50414,22,D9,7F,89,76,64,00,00
50424,7D,DA,7F,89,76,64,00,00
50434,B0,DB,7F,89,76,64,00,00
50444,AE,DC,7F,89,76,64,00,00
50454,BD,DD,7F,89,76,64,00,00
50464,0F,DE,7F,89,76,64,00,00
50474,80,DF,7F,89,76,64,00,00
50484,E8,D0,7F,89,76,64,00,00
50494,92,D1,7F,89,76,64,00,00
50504,7E,D2,7F,89,76,64,00,00
50514,91,D3,7F,89,76,64,00,00
50524,3D,D4,7F,89,76,64,00,00
50534,57,D5,7F,89,76,64,00,00
50544,67,D6,7F,89,76,64,00,00
50567,50,D8,7F,89,76,64,00,00
50584,7D,DA,7F,89,76,64,00,00
50594,B0,DB,7F,89,76,64,00,00
50604,AE,DC,7F,89,76,64,00,00
50614,BD,DD,7F,89,76,64,00,00
50624,0F,DE,7F,89,76,64,00,00
50634,80,DF,7F,89,76,64,00,00
50644,E8,D0,7F,89,76,64,00,00
