b0,b1,b2,b3,b4,b5,b6,b7
92,E1,DF,BF,FF,00,00,00
7E,E2,DF,BF,FF,00,00,00
91,E3,DF,BF,FF,00,00,00
3D,E4,DF,BF,FF,00,00,00
57,E5,DF,BF,FF,00,00,00
67,E6,DF,BF,FF,00,00,00
72,E7,DF,BF,FF,00,00,00
50,E8,DF,BF,FF,00,00,00
22,E9,DF,BF,FF,00,00,00
7D,EA,DF,BF,FF,00,00,00
B0,EB,DF,BF,FF,00,00,00
AE,EC,DF,BF,FF,00,00,00
BD,ED,DF,BF,FF,00,00,00
0F,EE,DF,BF,FF,00,00,00
80,EF,DF,BF,FF,00,00,00
E8,E0,DF,BF,FF,00,00,00
FF,D5,1F,40,7F,00,00,00
51,D6,1F,00,78,64,00,00
E6,D7,1F,40,7E,64,00,00
50,D8,DF,87,7A,00,00,00
39,D9,1F,CA,79,00,00,00
5B,DA,1F,8A,79,00,00,00
EC,DB,1F,0A,79,00,00,00
18,DC,1F,CA,78,00,00,00
36,DD,1F,8A,78,00,00,00
84,DE,1F,8A,78,00,00,00
4C,DF,1F,4A,78,00,00,00
24,D0,1F,4A,78,00,00,00
63,D1,1F,0A,78,00,00,00
8F,D2,1F,0A,78,00,00,00
60,D3,1F,0A,78,00,00,00
CC,D4,1F,0A,78,00,00,00
A6,D5,1F,0A,78,00,00,00
18,D6,1F,CA,77,00,00,00
0D,D7,1F,CA,77,00,00,00
BE,D8,1F,CA,77,64,00,00
CC,D9,1F,CA,77,64,00,00
93,DA,1F,CA,77,64,00,00
5E,DB,1F,CA,77,64,00,00
CE,DC,1F,0A,78,64,00,00
DD,DD,1F,0A,78,64,00,00
6F,DE,1F,0A,78,64,00,00
E0,DF,1F,0A,78,64,00,00
88,D0,1F,0A,78,64,00,00
F2,D1,1F,0A,78,64,00,00
1E,D2,1F,0A,78,64,00,00
F1,D3,1F,0A,78,64,00,00
D3,D4,1F,CA,77,64,00,00
B9,D5,1F,CA,77,64,00,00
89,D6,1F,CA,77,64,00,00
9C,D7,1F,CA,77,64,00,00
40,DC,1F,CA,77,64,00,00
53,DD,1F,CA,77,64,00,00
E1,DE,1F,CA,77,64,00,00
6E,DF,1F,CA,77,64,00,00
06,D0,1F,CA,77,64,00,00
90,D2,1F,CA,77,64,00,00
7F,D3,1F,CA,77,64,00,00
