time,b0,b1,b2,b3,b4,b5,b6,b7
35020,22,E9,DF,BF,FF,0,0,0
35030,7D,EA,DF,BF,FF,0,0,0
35040,B0,EB,DF,BF,FF,0,0,0
35050,AE,EC,DF,BF,FF,0,0,0
35060,BD,ED,DF,BF,FF,0,0,0
35070,0F,EE,DF,BF,FF,0,0,0
35080,80,EF,DF,BF,FF,0,0,0
35090,E8,E0,DF,BF,FF,0,0,0
35101,92,E1,DF,BF,FF,0,0,0
35110,7E,E2,DF,BF,FF,0,0,0
35120,91,E3,DF,BF,FF,0,0,0
35130,3D,E4,DF,BF,FF,0,0,0
35140,57,E5,DF,BF,FF,0,0,0
35150,67,E6,DF,BF,FF,0,0,0
35160,72,E7,DF,BF,FF,0,0,0
35170,50,E8,DF,BF,FF,0,0,0
35180,22,E9,DF,BF,FF,0,0,0
35190,7D,EA,DF,BF,FF,0,0,0
35200,B0,EB,DF,BF,FF,0,0,0
35211,AE,EC,DF,BF,FF,0,0,0
35220,BD,ED,DF,BF,FF,0,0,0
35230,0F,EE,DF,BF,FF,0,0,0
35240,80,EF,DF,BF,FF,0,0,0
35251,E8,E0,DF,BF,FF,0,0,0
35260,92,E1,DF,BF,FF,0,0,0
35270,7E,E2,DF,BF,FF,0,0,0
35280,91,E3,DF,BF,FF,0,0,0
35290,3D,E4,DF,BF,FF,0,0,0
35300,57,E5,DF,BF,FF,0,0,0
35310,67,E6,DF,BF,FF,0,0,0
35320,72,E7,DF,BF,FF,0,0,0
35330,50,E8,DF,BF,FF,0,0,0
35340,22,E9,DF,BF,FF,0,0,0
35350,7D,EA,DF,BF,FF,0,0,0
35360,B0,EB,DF,BF,FF,0,0,0
35371,AE,EC,DF,BF,FF,0,0,0
35380,BD,ED,DF,BF,FF,0,0,0
35390,0F,EE,DF,BF,FF,0,0,0
35400,80,EF,DF,BF,FF,0,0,0
35411,E8,E0,DF,BF,FF,0,0,0
35420,92,E1,DF,BF,FF,0,0,0
35430,7E,E2,DF,BF,FF,0,0,0
35440,91,E3,DF,BF,FF,0,0,0
35450,3D,E4,DF,BF,FF,0,0,0
35460,57,E5,DF,BF,FF,0,0,0
35470,67,E6,DF,BF,FF,0,0,0
35480,72,E7,DF,BF,FF,0,0,0
35490,50,E8,DF,BF,FF,0,0,0
35511,22,E9,DF,BF,FF,0,0,0
35520,B0,EB,DF,BF,FF,0,0,0
35530,AE,EC,DF,BF,FF,0,0,0
35540,BD,ED,DF,BF,FF,0,0,0
35550,0F,EE,DF,BF,FF,0,0,0
35560,80,EF,DF,BF,FF,0,0,0
35570,E8,E0,DF,BF,FF,0,0,0
35580,92,E1,DF,BF,FF,0,0,0
35590,7E,E2,DF,BF,FF,0,0,0
35600,91,E3,DF,BF,FF,0,0,0
35611,3D,E4,DF,BF,FF,0,0,0
35620,57,E5,DF,BF,FF,0,0,0
35630,67,E6,DF,BF,FF,0,0,0
35640,72,E7,DF,BF,FF,0,0,0
35650,50,E8,DF,BF,FF,0,0,0
35660,22,E9,DF,BF,FF,0,0,0
35670,7D,EA,DF,BF,FF,0,0,0
35680,B0,EB,DF,BF,FF,0,0,0
35690,AE,EC,DF,BF,FF,0,0,0
35700,BD,ED,DF,BF,FF,0,0,0
35710,0F,EE,DF,BF,FF,0,0,0
35720,80,EF,DF,BF,FF,0,0,0
35730,E8,E0,DF,BF,FF,0,0,0
35740,92,E1,DF,BF,FF,0,0,0
35750,7E,E2,DF,BF,FF,0,0,0
35760,91,E3,DF,BF,FF,0,0,0
35770,3D,E4,DF,BF,FF,0,0,0
35780,57,E5,DF,BF,FF,0,0,0
35790,67,E6,DF,BF,FF,0,0,0
35800,72,E7,DF,BF,FF,0,0,0
35810,50,E8,DF,BF,FF,0,0,0
35811,50,E8,DF,BF,FF,0,0,0
35820,22,E9,DF,BF,FF,0,0,0
35830,7D,EA,DF,BF,FF,0,0,0
35840,B0,EB,DF,BF,FF,0,0,0
35851,AE,EC,DF,BF,FF,0,0,0
35860,BD,ED,DF,BF,FF,0,0,0
35870,0F,EE,DF,BF,FF,0,0,0
35880,80,EF,DF,BF,FF,0,0,0
35890,E8,E0,DF,BF,FF,0,0,0
35910,7E,E2,DF,BF,FF,0,0,0
35920,91,E3,DF,BF,FF,0,0,0
35930,3D,E4,DF,BF,FF,0,0,0
35940,57,E5,DF,BF,FF,0,0,0
35950,67,E6,DF,BF,FF,0,0,0
35960,72,E7,DF,BF,FF,0,0,0
35970,50,E8,DF,BF,FF,0,0,0
35980,22,E9,DF,BF,FF,0,0,0
35990,7D,EA,DF,BF,FF,0,0,0
36000,B0,EB,DF,BF,FF,0,0,0
