time,actual,predicted,match,counter,b4,b5,b6,b7,rpm,stat,dyn
785977,192,30,False,14,151,100,132,66,4257.0,239,97
785987,192,30,False,15,151,100,140,66,4259.0,238,97
785998,192,30,False,0,151,100,160,66,4264.0,238,98
786008,192,30,False,1,152,100,160,66,4264.0,239,99
786017,192,30,False,2,152,100,180,66,4269.0,238,99
786028,192,30,False,3,152,100,214,66,4277.5,238,100
786037,192,30,False,4,152,100,236,66,4283.0,239,101
786048,192,30,False,5,152,100,10,67,4290.5,239,101
786057,192,30,False,6,152,100,22,67,4293.5,239,102
786067,192,30,False,7,152,100,60,67,4303.0,239,102
902088,192,30,False,9,150,100,18,64,4100.5,227,91
902098,192,30,False,10,150,100,98,64,4120.5,228,93
902107,192,30,False,11,150,100,140,64,4131.0,227,92
902118,192,30,False,12,150,100,232,64,4154.0,228,92
902128,192,30,False,13,150,100,32,65,4168.0,229,92
902138,192,30,False,14,150,100,106,65,4186.5,228,93
902147,192,30,False,15,150,100,174,65,4203.5,228,93
902158,192,30,False,0,150,100,238,65,4219.5,229,94
902168,192,30,False,1,150,100,236,65,4219.0,230,94
902178,192,30,False,2,150,100,60,66,4239.0,230,94
902188,192,30,False,3,150,100,96,66,4248.0,230,94
902198,192,30,False,4,151,100,138,66,4258.5,230,96
902208,192,30,False,5,151,100,186,66,4270.5,231,96
902218,192,30,False,6,151,100,222,66,4279.5,231,97
902228,192,30,False,7,151,100,216,66,4278.0,231,97
902238,192,30,False,8,151,100,12,67,4291.0,232,98
902248,192,30,False,9,151,100,72,67,4306.0,232,98
902258,192,30,False,10,152,100,124,67,4319.0,233,99
902268,192,30,False,11,152,100,170,67,4330.5,233,99
902279,192,30,False,12,152,100,186,67,4334.5,233,100
902287,192,30,False,13,152,100,18,68,4356.5,234,100
902298,192,30,False,14,152,100,66,68,4368.5,234,102
902308,192,30,False,15,152,100,102,68,4377.5,234,101
902318,192,30,False,0,152,100,174,68,4395.5,235,102
902329,192,30,False,1,152,100,236,68,4411.0,235,102
1032668,192,30,False,11,150,100,172,64,4139.0,220,93
1032678,192,30,False,12,149,100,10,65,4162.5,225,89
1032688,192,30,False,13,149,100,164,65,4201.0,227,87
1032708,192,30,False,15,148,100,76,65,4179.0,228,85
