counter,7,9,13,18,20,23,25,26,28,29,30,37,40,54,56,57,67,77,86,88,90,93,94,95,98,114,115,116,124,131,132,140,141,148,154,167,168,175,180,188,189,192,198,199,201,208,222,234,237,246
0,8,1,304,0,3,2,7,0,10,0,132,665,0,8,24,0,14,6,12,4,1,15,983,2,9,9,11,1,0,9,14,1,1002,0,2,0,2,0,1,859,2,27,28,3410,0,0,1,1,1,450
1,8,1,307,0,3,2,9,0,11,0,131,674,0,5,25,0,15,6,12,4,1,16,976,1,9,9,12,1,0,7,13,1,1007,0,3,0,3,0,1,857,1,25,31,3405,0,0,1,2,1,450
2,5,1,305,0,4,2,9,0,11,0,134,667,0,5,24,0,16,6,15,4,2,16,981,1,9,9,12,0,0,7,15,1,999,0,3,1,3,0,1,863,1,24,31,3404,0,0,1,2,1,455
3,6,1,305,1,4,2,9,1,11,0,134,667,0,1,25,1,15,6,14,4,1,16,980,1,7,9,12,0,0,9,15,1,998,0,3,0,3,0,2,863,1,21,31,3406,0,0,2,0,2,452
4,8,1,305,0,4,1,9,1,11,0,133,672,0,1,24,1,15,6,12,5,1,17,972,1,9,9,12,0,0,8,15,1,1001,0,3,0,3,0,2,860,1,22,31,3401,0,0,2,1,2,459
5,10,0,307,0,4,1,9,2,10,1,132,677,0,2,23,1,14,7,12,1,1,15,963,0,9,9,15,0,0,5,16,3,1004,0,3,0,4,0,1,858,2,23,30,3413,0,0,1,1,3,458
6,9,0,306,0,4,1,8,0,10,1,133,673,0,2,24,1,14,7,12,2,2,15,967,0,9,10,15,0,0,5,14,3,1008,0,3,0,4,0,1,854,1,23,30,3405,2,0,3,1,3,458
7,10,0,306,0,4,1,8,0,10,2,133,670,0,2,25,0,14,7,12,1,2,15,971,0,9,10,15,0,1,7,14,4,1002,0,3,0,4,0,1,859,2,23,28,3416,1,0,3,1,2,456
8,11,0,305,0,4,1,9,0,12,2,133,672,1,3,25,0,14,7,10,1,2,13,970,0,9,9,15,0,0,8,13,4,1000,0,5,0,4,0,1,851,2,24,28,3411,0,0,1,1,2,458
9,9,0,307,0,3,1,9,1,12,2,132,670,1,4,25,1,16,5,10,2,2,13,973,1,9,9,12,0,0,10,15,2,1000,1,3,0,3,0,1,851,2,26,28,3411,0,0,2,0,1,454
10,8,0,307,0,3,1,7,1,12,2,133,668,1,5,24,0,17,6,10,2,2,14,979,1,8,8,13,0,0,10,12,2,1003,1,3,0,3,0,1,857,2,28,28,3408,0,0,2,0,1,455
11,9,0,305,0,2,2,6,1,11,1,131,671,1,5,25,0,17,6,10,3,2,14,978,2,8,8,11,0,0,10,12,2,1001,0,2,0,3,0,1,856,3,30,30,3411,0,1,2,0,1,449
12,8,0,304,0,2,2,9,1,11,1,132,671,1,5,25,0,17,6,11,3,2,14,976,2,8,9,11,0,0,11,13,2,999,0,1,0,3,0,1,858,3,30,29,3408,0,1,3,0,1,453
13,9,1,303,0,2,2,7,0,11,1,134,673,0,5,25,0,16,6,10,3,1,14,981,2,10,10,10,0,0,11,13,2,998,0,1,0,1,1,1,860,3,29,30,3401,0,0,2,0,3,452
14,11,1,304,0,2,2,7,0,11,1,132,672,0,5,25,0,16,6,9,3,1,14,984,2,8,10,10,0,0,11,13,2,994,0,2,0,1,1,1,860,3,29,29,3404,0,0,2,0,3,452
15,10,1,305,0,2,2,8,0,10,0,133,671,0,8,25,0,15,6,10,4,1,15,981,2,9,9,11,1,0,9,14,2,997,0,2,0,2,0,1,859,2,27,28,3413,0,0,1,1,1,453
